esco_uri,name,slug,kind,aliases,description,esco_skill_type,source
http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,Python,python,technical,"Python 3;Python 2;Pyston","General-purpose programming language",knowledge,esco
http://data.europa.eu/esco/skill/19a8293b-8e95-4de3-983f-77484079c389,Java,java,technical,"Java SE;Java EE;JVM","Object-oriented programming language",knowledge,esco
http://data.europa.eu/esco/skill/3cd569a2-4f88-4c1e-9995-8dce8c5e51a7,JavaScript,javascript,technical,"JS;ECMAScript;ES6","Dynamic scripting language for web",knowledge,esco
http://data.europa.eu/esco/skill/867137fb-ff1b-4ca3-99f3-cb6969aa2c68,TypeScript,typescript,technical,"TS","Typed superset of JavaScript",knowledge,esco
http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742,SQL,sql,technical,"Structured Query Language;SEQUEL;T-SQL","Query language for relational databases",knowledge,esco
http://data.europa.eu/esco/skill/4da171e5-779c-4983-a76f-91c16751e99f,MySQL,mysql,technical,"","Open-source relational database management system",knowledge,esco
http://data.europa.eu/esco/skill/a8d07b5a-c1a1-42c6-9d53-db9c7a2ca996,PostgreSQL,postgresql,technical,"Postgres","Open-source relational database",knowledge,esco
http://data.europa.eu/esco/skill/c062bab3-3ea0-4291-9220-a2d8fef4bead,SQL Server,sql-server,technical,"MSSQL;Microsoft SQL Server","Microsoft relational database software",knowledge,esco
http://data.europa.eu/esco/skill/76ef6ed3-1658-4a1a-9593-204d799c6d0c,NoSQL,nosql,technical,"Not Only SQL","Non-relational database paradigm",knowledge,esco
http://data.europa.eu/esco/skill/f0de4973-0a70-4644-8fd4-3a97080476f4,DevOps,devops,methodology,"Dev-Ops","Software delivery culture and practice integrating dev and ops",knowledge,esco
http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43,Machine Learning,machine-learning,technical,"ML;deep learning","Algorithms that learn patterns from data",knowledge,esco
http://data.europa.eu/esco/skill/8088750d-8388-4170-a76f-48354c469c44,Cybersecurity,cybersecurity,technical,"IT security;information security","Protection of ICT systems and networks",knowledge,esco
http://data.europa.eu/esco/skill/7111b95d-0ce3-441a-9d92-4c75d05c4388,Project Management,project-management,functional,"gestion de projets;program management","Planning and executing projects to achieve goals",knowledge,esco
http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4,Agile,agile,methodology,"Agile project management;Agile methodology","Iterative software delivery method",knowledge,esco
http://data.europa.eu/esco/skill/7106b5df-e017-4c28-8c40-98814db5b775,PRINCE2,prince2,methodology,"","Structured project management method",knowledge,esco
http://data.europa.eu/esco/skill/d12e9d68-84c5-444e-aa98-d36533bf03f6,ITIL,itil,methodology,"","IT service management framework",skill,esco
