name,aliases,esco_uri,description,source
Français,"francais;French",,Langue française,seed
Anglais,"English",,Langue anglaise,seed
Espagnol,"castillan;Spanish",,Langue espagnole,seed
Allemand,"German",,Langue allemande,seed
Italien,"Italian",,Langue italienne,seed
Portugais,"Portuguese",,Langue portugaise,seed
Néerlandais,"hollandais;Dutch",,Langue néerlandaise,seed
Arabe,"Arabic",,Langue arabe,seed
Chinois,"mandarin;Chinese",,Langue chinoise,seed
Japonais,"Japanese",,Langue japonaise,seed
Coréen,"Korean",,Langue coréenne,seed
Hindi,"Hindi",,Langue hindi,seed
Russe,"Russian",,Langue russe,seed
Polonais,"Polish",,Langue polonaise,seed
Turc,"Turkish",,Langue turque,seed
Grec,"Greek",,Langue grecque,seed
Roumain,"Romanian",,Langue roumaine,seed
Danois,"Danish",,Langue danoise,seed
Suédois,"Swedish",,Langue suédoise,seed
Norvégien,"Norwegian",,Langue norvégienne,seed
Finnois,"Finnish",,Langue finnoise,seed
Tchèque,"Czech",,Langue tchèque,seed
Hongrois,"Hungarian",,Langue hongroise,seed
Bulgare,"Bulgarian",,Langue bulgare,seed
Ukrainien,"Ukrainian",,Langue ukrainienne,seed
Langue des signes,"LSF;sign language",,Système de communication gestuelle,seed
